"STATISTIC","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2011Q4","Single house","Clare County Council","Number","56"
"New Dwelling Completion","2011Q4","Single house","Cavan County Council","Number","23"
"New Dwelling Completion","2011Q4","Single house","Cork County Council","Number","173"
"New Dwelling Completion","2011Q4","Single house","Carlow County Council","Number","33"
"New Dwelling Completion","2011Q4","Single house","Dublin City Council","Number","8"
"New Dwelling Completion","2011Q4","Single house","Dún Laoghaire Rathdown County Council","Number","14"
"New Dwelling Completion","2011Q4","Single house","Donegal County Council","Number","78"
"New Dwelling Completion","2011Q4","Single house","Fingal County Council","Number","10"
"New Dwelling Completion","2011Q4","Single house","Galway County Council","Number","107"
"New Dwelling Completion","2011Q4","Single house","Galway City Council","Number","6"
"New Dwelling Completion","2011Q4","Single house","Kildare County Council","Number","51"
"New Dwelling Completion","2011Q4","Single house","Kilkenny County Council","Number","46"
"New Dwelling Completion","2011Q4","Single house","Kerry County Council","Number","69"
"New Dwelling Completion","2011Q4","Single house","Longford County Council","Number","13"
"New Dwelling Completion","2011Q4","Single house","Louth County Council","Number","29"
"New Dwelling Completion","2011Q4","Single house","Limerick City & County Council","Number","74"
"New Dwelling Completion","2011Q4","Single house","Leitrim County Council","Number","15"
"New Dwelling Completion","2011Q4","Single house","Laois County Council","Number","20"
"New Dwelling Completion","2011Q4","Single house","Meath County Council","Number","55"
"New Dwelling Completion","2011Q4","Single house","Monaghan County Council","Number","27"
"New Dwelling Completion","2011Q4","Single house","Mayo County Council","Number","74"
"New Dwelling Completion","2011Q4","Single house","Offaly County Council","Number","19"
"New Dwelling Completion","2011Q4","Single house","Roscommon County Council","Number","31"
"New Dwelling Completion","2011Q4","Single house","South Dublin County Council","Number","9"
"New Dwelling Completion","2011Q4","Single house","Sligo County Council","Number","23"
"New Dwelling Completion","2011Q4","Single house","Tipperary County Council","Number","60"
"New Dwelling Completion","2011Q4","Single house","Waterford City & County Council","Number","32"
"New Dwelling Completion","2011Q4","Single house","Westmeath County Council","Number","22"
"New Dwelling Completion","2011Q4","Single house","Wicklow County Council","Number","30"
"New Dwelling Completion","2011Q4","Single house","Wexford County Council","Number","49"
"New Dwelling Completion","2011Q4","Single house","Ireland","Number","1267"
"New Dwelling Completion","2011Q4","Scheme house","Cork City Council","Number","7"
"New Dwelling Completion","2011Q4","Scheme house","Clare County Council","Number","0"
"New Dwelling Completion","2011Q4","Scheme house","Cavan County Council","Number","14"
"New Dwelling Completion","2011Q4","Scheme house","Cork County Council","Number","16"
"New Dwelling Completion","2011Q4","Scheme house","Carlow County Council","Number","5"
"New Dwelling Completion","2011Q4","Scheme house","Dublin City Council","Number","0"
"New Dwelling Completion","2011Q4","Scheme house","Dún Laoghaire Rathdown County Council","Number","2"
"New Dwelling Completion","2011Q4","Scheme house","Donegal County Council","Number","4"
"New Dwelling Completion","2011Q4","Scheme house","Fingal County Council","Number","12"
"New Dwelling Completion","2011Q4","Scheme house","Galway County Council","Number","6"
"New Dwelling Completion","2011Q4","Scheme house","Galway City Council","Number","4"
"New Dwelling Completion","2011Q4","Scheme house","Kildare County Council","Number","24"
"New Dwelling Completion","2011Q4","Scheme house","Kilkenny County Council","Number","0"
"New Dwelling Completion","2011Q4","Scheme house","Kerry County Council","Number","4"
"New Dwelling Completion","2011Q4","Scheme house","Longford County Council","Number","0"
"New Dwelling Completion","2011Q4","Scheme house","Louth County Council","Number","6"
"New Dwelling Completion","2011Q4","Scheme house","Limerick City & County Council","Number","16"
"New Dwelling Completion","2011Q4","Scheme house","Leitrim County Council","Number","1"
"New Dwelling Completion","2011Q4","Scheme house","Laois County Council","Number","10"
"New Dwelling Completion","2011Q4","Scheme house","Meath County Council","Number","11"
"New Dwelling Completion","2011Q4","Scheme house","Monaghan County Council","Number","4"
"New Dwelling Completion","2011Q4","Scheme house","Mayo County Council","Number","14"
"New Dwelling Completion","2011Q4","Scheme house","Offaly County Council","Number","6"
"New Dwelling Completion","2011Q4","Scheme house","Roscommon County Council","Number","0"
"New Dwelling Completion","2011Q4","Scheme house","South Dublin County Council","Number","21"
"New Dwelling Completion","2011Q4","Scheme house","Sligo County Council","Number","1"
"New Dwelling Completion","2011Q4","Scheme house","Tipperary County Council","Number","8"
"New Dwelling Completion","2011Q4","Scheme house","Waterford City & County Council","Number","3"
"New Dwelling Completion","2011Q4","Scheme house","Westmeath County Council","Number","4"
"New Dwelling Completion","2011Q4","Scheme house","Wicklow County Council","Number","17"
"New Dwelling Completion","2011Q4","Scheme house","Wexford County Council","Number","6"
"New Dwelling Completion","2011Q4","Scheme house","Ireland","Number","226"
"New Dwelling Completion","2011Q4","Apartment","Cork City Council","Number","7"
"New Dwelling Completion","2011Q4","Apartment","Clare County Council","Number","1"
"New Dwelling Completion","2011Q4","Apartment","Cavan County Council","Number","0"
"New Dwelling Completion","2011Q4","Apartment","Cork County Council","Number","5"
"New Dwelling Completion","2011Q4","Apartment","Carlow County Council","Number","0"
"New Dwelling Completion","2011Q4","Apartment","Dublin City Council","Number","75"
"New Dwelling Completion","2011Q4","Apartment","Dún Laoghaire Rathdown County Council","Number","1"
"New Dwelling Completion","2011Q4","Apartment","Donegal County Council","Number","6"
"New Dwelling Completion","2011Q4","Apartment","Fingal County Council","Number","11"
"New Dwelling Completion","2011Q4","Apartment","Galway County Council","Number","1"
"New Dwelling Completion","2011Q4","Apartment","Galway City Council","Number","1"
"New Dwelling Completion","2011Q4","Apartment","Kildare County Council","Number","1"
"New Dwelling Completion","2011Q4","Apartment","Kilkenny County Council","Number","8"
"New Dwelling Completion","2011Q4","Apartment","Kerry County Council","Number","6"
"New Dwelling Completion","2011Q4","Apartment","Longford County Council","Number","0"
"New Dwelling Completion","2011Q4","Apartment","Louth County Council","Number","2"
"New Dwelling Completion","2011Q4","Apartment","Limerick City & County Council","Number","5"
"New Dwelling Completion","2011Q4","Apartment","Leitrim County Council","Number","0"
"New Dwelling Completion","2011Q4","Apartment","Laois County Council","Number","3"
"New Dwelling Completion","2011Q4","Apartment","Meath County Council","Number","2"
"New Dwelling Completion","2011Q4","Apartment","Monaghan County Council","Number","1"
"New Dwelling Completion","2011Q4","Apartment","Mayo County Council","Number","0"
"New Dwelling Completion","2011Q4","Apartment","Offaly County Council","Number","4"
"New Dwelling Completion","2011Q4","Apartment","Roscommon County Council","Number","0"
"New Dwelling Completion","2011Q4","Apartment","South Dublin County Council","Number","6"
"New Dwelling Completion","2011Q4","Apartment","Sligo County Council","Number","0"
"New Dwelling Completion","2011Q4","Apartment","Tipperary County Council","Number","0"
"New Dwelling Completion","2011Q4","Apartment","Waterford City & County Council","Number","0"
"New Dwelling Completion","2011Q4","Apartment","Westmeath County Council","Number","2"
"New Dwelling Completion","2011Q4","Apartment","Wicklow County Council","Number","0"
"New Dwelling Completion","2011Q4","Apartment","Wexford County Council","Number","0"
"New Dwelling Completion","2011Q4","Apartment","Ireland","Number","148"
"New Dwelling Completion","2011Q4","All house types","Cork City Council","Number","25"
"New Dwelling Completion","2011Q4","All house types","Clare County Council","Number","57"
"New Dwelling Completion","2011Q4","All house types","Cavan County Council","Number","37"
"New Dwelling Completion","2011Q4","All house types","Cork County Council","Number","194"
"New Dwelling Completion","2011Q4","All house types","Carlow County Council","Number","38"
"New Dwelling Completion","2011Q4","All house types","Dublin City Council","Number","83"
"New Dwelling Completion","2011Q4","All house types","Dún Laoghaire Rathdown County Council","Number","17"
"New Dwelling Completion","2011Q4","All house types","Donegal County Council","Number","88"
"New Dwelling Completion","2011Q4","All house types","Fingal County Council","Number","33"
"New Dwelling Completion","2011Q4","All house types","Galway County Council","Number","114"
"New Dwelling Completion","2011Q4","All house types","Galway City Council","Number","11"
"New Dwelling Completion","2011Q4","All house types","Kildare County Council","Number","76"
"New Dwelling Completion","2011Q4","All house types","Kilkenny County Council","Number","54"
"New Dwelling Completion","2011Q4","All house types","Kerry County Council","Number","79"
"New Dwelling Completion","2011Q4","All house types","Longford County Council","Number","13"
"New Dwelling Completion","2011Q4","All house types","Louth County Council","Number","37"
"New Dwelling Completion","2011Q4","All house types","Limerick City & County Council","Number","95"
"New Dwelling Completion","2011Q4","All house types","Leitrim County Council","Number","16"
"New Dwelling Completion","2011Q4","All house types","Laois County Council","Number","33"
"New Dwelling Completion","2011Q4","All house types","Meath County Council","Number","68"
"New Dwelling Completion","2011Q4","All house types","Monaghan County Council","Number","32"
"New Dwelling Completion","2011Q4","All house types","Mayo County Council","Number","88"
